Infinity Alpha Omega LLC,,,,,,,,,
Transaction Report,,,,,,,,,
All Dates,,,,,,,,,

,Transaction date,Transaction type,Num,Name,Description,Account Name,Item split account,Amount,Balance
21000 Due to I A Z Corporation,,,,,,,,,
,01/01/2024,Journal Entry,100,,Jan Utilities,21000 Due to I A Z Corporation,,"-3,023.33","421,152.45"
,01/08/2024,Journal Entry,83,,Francis Pest,21000 Due to I A Z Corporation,,215.55,"421,368.00"
,01/17/2024,Journal Entry,83,,Twin City Heating and Air,21000 Due to I A Z Corporation,,156.00,"421,524.00"
,01/24/2024,Check,5002,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-7,000.00","414,524.00"
,01/31/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","415,524.00"
,01/31/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","427,238.06"
,01/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,912.83","430,150.89"
,01/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"2,207.81","432,358.70"
,01/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,748.19,"433,106.89"
,02/01/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,326.03,"433,432.92"
,02/01/2024,Journal Entry,89,,Twin City Heating,21000 Due to I A Z Corporation,,156.00,"433,588.92"
,02/01/2024,Journal Entry,89,,Greg's Lawn Service - snow removal,21000 Due to I A Z Corporation,,585.00,"434,173.92"
,02/01/2024,Journal Entry,100,,Feb Rent,21000 Due to I A Z Corporation,,"-6,754.00","427,419.92"
,02/01/2024,Journal Entry,100,,Feb Utilities,21000 Due to I A Z Corporation,,"-1,908.23","425,511.69"
,02/15/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","437,225.75"
,02/29/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,328.86,"437,554.61"
,02/29/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,729.29,"438,283.90"
,02/29/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","439,283.90"
,02/29/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"1,345.69","440,629.59"
,02/29/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"1,439.55","442,069.14"
,03/01/2024,Journal Entry,100,,Mar Rent,21000 Due to I A Z Corporation,,"-6,754.00","435,315.14"
,03/01/2024,Journal Entry,100,,Mar Utilities,21000 Due to I A Z Corporation,,"-1,763.26","433,551.88"
,03/01/2024,Journal Entry,89,,Twin City Heating,21000 Due to I A Z Corporation,,156.00,"433,707.88"
,03/11/2024,Journal Entry,100,,Grant,21000 Due to I A Z Corporation,,"-20,000.00","413,707.88"
,03/14/2024,Check,5003,,,21000 Due to I A Z Corporation,Checking (deleted),"-6,000.00","407,707.88"
,03/14/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","419,421.94"
,03/21/2024,Journal Entry,83,,Francis Pest,21000 Due to I A Z Corporation,,215.55,"419,637.49"
,03/26/2024,Journal Entry,89,,Greg's Lawn Service - snow removal,21000 Due to I A Z Corporation,,590.00,"420,227.49"
,03/26/2024,Journal Entry,63,,Bookkeeping,21000 Due to I A Z Corporation,,"1,435.00","421,662.49"
,03/26/2024,Journal Entry,63,,Bookkeeping,21000 Due to I A Z Corporation,,"2,230.00","423,892.49"
,03/26/2024,Journal Entry,89,,Greg's Lawn Service - snow removal,21000 Due to I A Z Corporation,,585.00,"424,477.49"
,03/26/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","425,477.49"
,03/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,325.42,"425,802.91"
,03/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,748.19,"426,551.10"
,03/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,929.23,"427,480.33"
,03/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,502.10","429,982.43"
,04/01/2024,Journal Entry,100,,Apr Rent,21000 Due to I A Z Corporation,,"-6,754.00","423,228.43"
,04/01/2024,Journal Entry,100,,Apr Utilities,21000 Due to I A Z Corporation,,"-1,945.27","421,283.16"
,04/01/2024,Journal Entry,89,,Twin City Heating,21000 Due to I A Z Corporation,,156.00,"421,439.16"
,04/15/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","433,153.22"
,04/17/2024,Check,5010,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-5,000.00","428,153.22"
,04/30/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,318.94,"428,472.16"
,04/30/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,335.83,"428,807.99"
,04/30/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,767.12,"429,575.11"
,04/30/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","430,575.11"
,04/30/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,530.26","433,105.37"
,05/01/2024,Journal Entry,100,,May Rent,21000 Due to I A Z Corporation,,"-6,754.00","426,351.37"
,05/01/2024,Journal Entry,100,,May Utilities,21000 Due to I A Z Corporation,,"-1,832.08","424,519.29"
,05/01/2024,Journal Entry,58,,,21000 Due to I A Z Corporation,,"41,253.41","465,772.70"
,05/01/2024,Journal Entry,58,,,21000 Due to I A Z Corporation,,"3,300.27","469,072.97"
,05/28/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","470,072.97"
,05/29/2024,Check,,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-3,500.00","466,572.97"
,05/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,105.73,"466,678.70"
,05/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,318.65,"466,997.35"
,05/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,767.12,"467,764.47"
,05/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,479.16","470,243.63"
,06/01/2024,Journal Entry,99,,Commercial Protection Plan CP3367652 6/1/2024 - 6/1/2025 (Policy Holder Infinity Alpha Omega LLC),21000 Due to I A Z Corporation,,"6,998.54","477,242.17"
,06/01/2024,Journal Entry,100,,June Rent,21000 Due to I A Z Corporation,,"-6,754.00","470,488.17"
,06/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,511.77","467,976.40"
,06/24/2024,Journal Entry,99,,Lease representation contract,21000 Due to I A Z Corporation,,"17,228.06","485,204.46"
,06/24/2024,Journal Entry,99,,Commercial Protection Plan CP3367652 6/1/2024 - 6/1/2025 (Policy Holder Infinity Alpha Omega LLC),21000 Due to I A Z Corporation,,"2,174.14","487,378.60"
,06/29/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","488,378.60"
,06/29/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,719.40","492,098.00"
,06/30/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,322.05,"492,420.05"
,06/30/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,918.46,"493,338.51"
,06/30/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,89.58,"493,428.09"
,07/01/2024,Journal Entry,100,,July Rent,21000 Due to I A Z Corporation,,"-6,754.00","486,674.09"
,07/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,450.81","484,223.28"
,07/11/2024,Check,5012,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-10,000.00","474,223.28"
,07/31/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","475,223.28"
,07/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,870.48","479,093.76"
,07/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,323.62,"479,417.38"
,07/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,91.92,"479,509.30"
,07/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,729.29,"480,238.59"
,08/01/2024,Journal Entry,100,,Aug Rent,21000 Due to I A Z Corporation,,"-6,754.00","473,484.59"
,08/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,568.63","470,915.96"
,08/14/2024,Check,5012,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-12,000.00","458,915.96"
,08/25/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","459,915.96"
,08/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"4,115.40","464,031.36"
,08/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,318.08,"464,349.44"
,08/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,767.12,"465,116.56"
,08/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,90.37,"465,206.93"
,09/01/2024,Journal Entry,100,,Aug Rent,21000 Due to I A Z Corporation,,"-6,754.00","458,452.93"
,09/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,482.53","455,970.40"
,09/05/2024,Check,5015,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-3,500.00","452,470.40"
,09/05/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","464,184.46"
,09/06/2024,Journal Entry,63,,Bookkeeping,21000 Due to I A Z Corporation,,"1,220.00","465,404.46"
,09/12/2024,Journal Entry,89,,Roof Right,21000 Due to I A Z Corporation,,"1,000.00","466,404.46"
,09/12/2024,Journal Entry,89,,Sidewalk Clean up Check #6183,21000 Due to I A Z Corporation,,500.00,"466,904.46"
,09/16/2024,Journal Entry,91,,,21000 Due to I A Z Corporation,,"11,714.06","478,618.52"
,09/26/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,"1,000.00","479,618.52"
,09/30/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,534.28,"480,152.80"
,09/30/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,90.69,"480,243.49"
,09/30/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"4,173.19","484,416.68"
,09/30/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,842.78,"485,259.46"
,10/01/2024,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,754.00","478,505.46"
,10/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,215.56","476,289.90"
,10/10/2024,Journal Entry,96,,Twin Cities Painters - Scrape and paint back stairs,21000 Due to I A Z Corporation,,980.00,"477,269.90"
,10/15/2024,Journal Entry,58,,,21000 Due to I A Z Corporation,,"41,253.41","518,523.31"
,10/15/2024,Journal Entry,58,,,21000 Due to I A Z Corporation,,0.00,"518,523.31"
,10/15/2024,Journal Entry,96,,Desiree Hart,21000 Due to I A Z Corporation,,500.00,"519,023.31"
,10/15/2024,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","520,223.31"
,10/29/2024,Check,,I A Z Corporation,,21000 Due to I A Z Corporation,Checking (deleted),"-35,000.00","485,223.31"
,10/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,429.91,"485,653.22"
,10/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,243.61","488,896.83"
,10/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,139.43,"489,036.26"
,10/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,"1,050.90","490,087.16"
,11/01/2024,Journal Entry,100,,Oct Rent,21000 Due to I A Z Corporation,,"-6,754.00","483,333.16"
,11/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,048.75","481,284.41"
,11/01/2024,Journal Entry,96,,Paul Bunyan Plumbing,21000 Due to I A Z Corporation,,"4,341.00","485,625.41"
,11/15/2024,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","486,825.41"
,11/30/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,435.11,"487,260.52"
,11/30/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,422.92","489,683.44"
,11/30/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"1,133.90","490,817.34"
,11/30/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,804.95,"491,622.29"
,12/01/2024,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,754.00","484,868.29"
,12/01/2024,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,641.89","482,226.40"
,12/15/2024,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","483,426.40"
,12/20/2024,Journal Entry,89,,4 Front Energy Solutions,21000 Due to I A Z Corporation,,315.00,"483,741.40"
,12/31/2024,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,451.15,"484,192.55"
,12/31/2024,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,346.98","486,539.53"
,12/31/2024,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"2,447.20","488,986.73"
,12/31/2024,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,841.54,"489,828.27"
,12/31/2024,Journal Entry,96,,Pat Hoosline Snow Plow,21000 Due to I A Z Corporation,,295.00,"490,123.27"
,01/01/2025,Journal Entry,KK 2025 Move to 1 Acc,,,21000 Due to I A Z Corporation,,"-2,024.33","488,098.94"
,01/08/2025,Journal Entry,83,,Francis Pest,21000 Due to I A Z Corporation,,215.55,"488,314.49"
,01/15/2025,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","489,514.49"
,01/23/2025,Check,1,I A Z Corporation,,21000 Due to I A Z Corporation,Checking - Old National,"-7,000.00","482,514.49"
,01/24/2025,Journal Entry,63,,Bookkeeping,21000 Due to I A Z Corporation,,"1,225.00","483,739.49"
,01/31/2025,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,463.94,"484,203.43"
,01/31/2025,Journal Entry,64,,,21000 Due to I A Z Corporation,,"-3,307.75","480,895.68"
,01/31/2025,Journal Entry,96,,Pat Hoosline Snow Plow,21000 Due to I A Z Corporation,,135.00,"481,030.68"
,01/31/2025,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"3,232.46","484,263.14"
,01/31/2025,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,851.32,"485,114.46"
,01/31/2025,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,048.74","488,163.20"
,01/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-7,000.00","481,163.20"
,01/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"7,000.00","488,163.20"
,01/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"3,234.41","491,397.61"
,01/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","484,440.61"
,02/05/2025,Check,Withdraw,,,21000 Due to I A Z Corporation,Checking - Old National,"-11,000.00","473,440.61"
,02/12/2025,Deposit,,,,21000 Due to I A Z Corporation,Checking - Old National,"11,000.00","484,440.61"
,02/15/2025,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","485,640.61"
,02/21/2025,Journal Entry,83,,Francis Pest,21000 Due to I A Z Corporation,,215.00,"485,855.61"
,02/28/2025,Journal Entry,92,,Aspen bills in IAZ paid by IAO,21000 Due to I A Z Corporation,,-915.09,"484,940.52"
,02/28/2025,Journal Entry,92,,Centerpoint Energy bills in IAZ paid by IAO,21000 Due to I A Z Corporation,,"-3,234.41","481,706.11"
,02/28/2025,Journal Entry,64,,,21000 Due to I A Z Corporation,,"-3,087.33","478,618.78"
,02/28/2025,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,462.32,"479,081.10"
,02/28/2025,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,870.92,"479,952.02"
,02/28/2025,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"2,690.31","482,642.33"
,02/28/2025,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,065.22","485,707.55"
,02/28/2025,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,957.00","478,750.55"
,02/28/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","471,793.55"
,02/28/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-3,087.33","468,706.22"
,02/28/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,462.37,"469,168.59"
,03/05/2025,Journal Entry,63,,Bookkeeping,21000 Due to I A Z Corporation,,"2,165.00","471,333.59"
,03/06/2025,Transfer,,,Showdown Display,21000 Due to I A Z Corporation,Old National Bank 0979,"-1,074.75","470,258.84"
,03/06/2025,Transfer,,,Domino's,21000 Due to I A Z Corporation,Old National Bank 0979,-59.59,"470,199.25"
,03/06/2025,Check,5005,I A Z Corporation,,21000 Due to I A Z Corporation,Checking - Old National,"-12,000.00","458,199.25"
,03/07/2025,Transfer,,,PB Online Postage,21000 Due to I A Z Corporation,Old National Bank 0979,"-1,060.00","457,139.25"
,03/07/2025,Transfer,,,Showdown,21000 Due to I A Z Corporation,Old National Bank 0979,-390.38,"456,748.87"
,03/09/2025,Journal Entry,kk record pymt to iaz,,,21000 Due to I A Z Corporation,,-300.00,"456,448.87"
,03/11/2025,Journal Entry,96,,Pat Hoosline Snow Plow,21000 Due to I A Z Corporation,,610.00,"457,058.87"
,03/12/2025,Deposit,,,,21000 Due to I A Z Corporation,Checking - Old National,"12,000.00","469,058.87"
,03/18/2025,Transfer,,,Showdown,21000 Due to I A Z Corporation,Old National Bank 0979,-563.55,"468,495.32"
,03/18/2025,Transfer,,,Secura,21000 Due to I A Z Corporation,Old National Bank 0979,"-9,115.96","459,379.36"
,03/18/2025,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","460,579.36"
,03/25/2025,Transfer,,,Konica,21000 Due to I A Z Corporation,Old National Bank 0979,-914.95,"459,664.41"
,03/29/2025,Transfer,,,Konica,21000 Due to I A Z Corporation,Old National Bank 0979,"-5,619.08","454,045.33"
,03/29/2025,Transfer,,,Konica,21000 Due to I A Z Corporation,Old National Bank 0979,-901.72,"453,143.61"
,03/31/2025,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,"1,310.08","454,453.69"
,03/31/2025,Journal Entry,99,,Paul Bunyan Plumbing,21000 Due to I A Z Corporation,,669.00,"455,122.69"
,03/31/2025,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,857.72","457,980.41"
,03/31/2025,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,460.73,"458,441.14"
,03/31/2025,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,880.72,"459,321.86"
,03/31/2025,Journal Entry,93,,Moved AP to IAO,21000 Due to I A Z Corporation,,"-85,807.09","373,514.77"
,03/31/2025,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,957.00","366,557.77"
,03/31/2025,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-2,390.91","364,166.86"
,03/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,669.00,"364,835.86"
,04/02/2025,Journal Entry,99,,Paul Bunyan Plumbing,21000 Due to I A Z Corporation,,598.00,"365,433.86"
,04/04/2025,Deposit,,I A Z Corporation,,21000 Due to I A Z Corporation,Checking - Old National,"1,000.00","366,433.86"
,04/08/2025,Journal Entry,83,,Francis Pest,21000 Due to I A Z Corporation,,215.55,"366,649.41"
,04/15/2025,Journal Entry,96,,Mickeyman's Maintenance Housekeeping,21000 Due to I A Z Corporation,,"1,200.00","367,849.41"
,04/17/2025,Transfer,,,Showdown,21000 Due to I A Z Corporation,Old National Bank 0979,-116.87,"367,732.54"
,04/28/2025,Transfer,,,Fleet Farm,21000 Due to I A Z Corporation,Old National Bank 0979,-28.19,"367,704.35"
,04/30/2025,Journal Entry,96,,Aspen Waste: Invoice # 1-44666-3,21000 Due to I A Z Corporation,,460.56,"368,164.91"
,04/30/2025,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,627.93,"368,792.84"
,04/30/2025,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,900.30,"369,693.14"
,04/30/2025,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"2,312.30","372,005.44"
,04/30/2025,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,957.00","365,048.44"
,04/30/2025,Journal Entry,100,,Utilities,21000 Due to I A Z Corporation,,"-1,859.88","363,188.56"
,05/01/2025,Deposit,,,,21000 Due to I A Z Corporation,Checking - Old National,"2,000.00","365,188.56"
,05/01/2025,Journal Entry,100,,Rent,21000 Due to I A Z Corporation,,"-6,957.00","358,231.56"
,05/12/2025,Expense,3089,,fuel,21000 Due to I A Z Corporation,Old National Bank 0979,-28.52,"358,203.04"
,05/31/2025,Journal Entry,85,,Centerpoint Energy: Invoice # 6403009309-6,21000 Due to I A Z Corporation,,130.43,"358,333.47"
,05/31/2025,Journal Entry,94,,Xcel Energy,21000 Due to I A Z Corporation,,"3,437.22","361,770.69"
,05/31/2025,Journal Entry,99,,Minneapolis Finance Department,21000 Due to I A Z Corporation,,841.54,"362,612.23"
,05/31/2025,Journal Entry,99,,Minneapolis Finance Department Late Fee,21000 Due to I A Z Corporation,,45.02,"362,657.25"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,655.00,"363,312.25"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,13.62,"363,325.87"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,-13.62,"363,312.25"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"10,750.40","374,062.65"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,461.95,"374,524.60"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","367,567.60"
,05/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","365,707.72"
,06/23/2025,Deposit,,,DEPOSIT,21000 Due to I A Z Corporation,Checking - Old National,"7,000.00","372,707.72"
,06/24/2025,Check,5007,,CHECK 5007,21000 Due to I A Z Corporation,Checking - Old National,"-2,515.00","370,192.72"
,06/30/2025,Journal Entry,kk util 2025 06,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"3,212.60","373,405.32"
,06/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","374,605.32"
,06/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","367,648.32"
,06/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","365,788.44"
,07/28/2025,Deposit,,,DEPOSIT,21000 Due to I A Z Corporation,Checking - Old National,"2,000.00","367,788.44"
,07/31/2025,Journal Entry,kk util 2025 07,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"6,092.12","373,880.56"
,07/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,215.55,"374,096.11"
,07/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","375,296.11"
,07/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","368,339.11"
,07/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","366,479.23"
,08/01/2025,Expense,misc,,uline,21000 Due to I A Z Corporation,Old National Bank 0979,-135.23,"366,344.00"
,08/12/2025,Deposit,,,DEPOSIT,21000 Due to I A Z Corporation,Checking - Old National,"2,000.00","368,344.00"
,08/31/2025,Journal Entry,kk util 2025 08,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"9,742.48","378,086.48"
,08/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,954.91,"379,041.39"
,08/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","380,241.39"
,08/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","373,284.39"
,08/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","371,424.51"
,09/30/2025,Journal Entry,kk util 2025 09,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"4,563.37","375,987.88"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,486.08,"376,473.96"
